latlong
"[41.6938155, -87.5567902]"
"[41.88536999999999, -87.63507]"
"[41.8952034, -87.7558353]"
"[41.8909552, -87.63302039999999]"
"[41.9018761, -87.625001]"
"[39.1478866, -123.2068489]"
"[41.9171497, -87.63747149999999]"
"[41.7820653, -87.67213699999999]"
"[41.88331820000001, -87.6920476]"
"[41.921102, -87.6334742]"
"[41.9210378, -87.70463029999999]"
"[41.887947, -87.6249143]"
"[41.707849, -87.6710969]"
"[41.7855444, -87.60313149999999]"
"[41.782747, -87.612427]"
"[41.8690698, -87.6262737]"
"[41.9096294, -87.6291657]"
"[41.9989968, -87.6581921]"
"[41.8363713, -87.6289254]"
"[41.880866, -87.6286135]"
"[41.8760626, -87.6290846]"
"[41.8898169, -87.76969849999999]"
"[41.8797985, -87.62954719999999]"
"[41.77879129999999, -87.6837031]"
"[41.8838936, -87.6273976]"
"[41.9422645, -87.670264]"
"[41.8876021, -87.6254433]"
"[41.8942944, -87.6257712]"
"[41.9236145, -87.6496799]"
"[41.804691, -87.60482499999999]"
"[41.8921018, -87.6261632]"
"[41.8928896, -87.6271199]"
"[41.8827875, -87.6811938]"
"[41.88851520000001, -87.62326569999999]"
"[33.8703645, -117.9242123]"
"[41.7654904, -87.5710606]"
"[41.9084165, -87.67794099999999]"
"[41.8779787, -87.6295664]"
"[41.897641, -87.6433945]"
"[41.8581151, -87.62346269999999]"
"[41.9986947, -87.6566156]"
"[41.792432, -87.5801558]"
"[41.8918954, -87.6143793]"
"[41.7514798, -87.58405189999999]"
"[41.8809182, -87.63207159999999]"
"[41.9443327, -87.6639313]"
"[41.9161765, -87.6732205]"
"[41.8943149, -87.62653999999999]"
"[41.983421, -87.79582900000001]"
"[41.9292749, -87.64235049999999]"
"[37.8715226, -122.273042]"
"[41.9000176, -87.6627352]"
"[41.9354421, -87.6491154]"
"[41.8195389, -87.6016849]"
"[41.88851520000001, -87.62326569999999]"
"[41.8165421, -87.6230265]"
"[41.8766468, -87.62906869999999]"
"[41.8860646, -87.62585279999999]"
"[41.99196, -87.76870199999999]"
"[41.88707309999999, -87.6242091]"
"[41.8989026, -87.6342911]"
"[41.8849206, -87.6292776]"
"[41.8523969, -87.63229109999999]"
"[41.8823104, -87.63203779999999]"
"[41.8289789, -87.6261789]"
"[41.8854189, -87.627623]"
"[41.691057, -87.67941689999999]"
